ciselnik,ciselnik_kod,ciselnik_nazev,vek_IRI,vek_kod,vek_nazev,vek_od_vcetne,vek_do_vcetne
https://data.mzd.gov.cz/data/číselníky/CIS001,CIS001,Číselník věkových skupin NZIS,https://data.mzd.gov.cz/data/číselníky/CIS001/66000000,66000000,0 let,0.0,0.0
https://data.mzd.gov.cz/data/číselníky/CIS001,CIS001,Číselník věkových skupin NZIS,https://data.mzd.gov.cz/data/číselníky/CIS001/66000001,66000001,1 rok a méně,0.0,1.0
https://data.mzd.gov.cz/data/číselníky/CIS001,CIS001,Číselník věkových skupin NZIS,https://data.mzd.gov.cz/data/číselníky/CIS001/66000003,66000003,3 roky a méně,0.0,3.0
https://data.mzd.gov.cz/data/číselníky/CIS001,CIS001,Číselník věkových skupin NZIS,https://data.mzd.gov.cz/data/číselníky/CIS001/66000004,66000004,4 roky a méně,0.0,4.0
https://data.mzd.gov.cz/data/číselníky/CIS001,CIS001,Číselník věkových skupin NZIS,https://data.mzd.gov.cz/data/číselníky/CIS001/66000009,66000009,9 let a méně,0.0,9.0
https://data.mzd.gov.cz/data/číselníky/CIS001,CIS001,Číselník věkových skupin NZIS,https://data.mzd.gov.cz/data/číselníky/CIS001/66000011,66000011,11 let a méně,0.0,11.0
https://data.mzd.gov.cz/data/číselníky/CIS001,CIS001,Číselník věkových skupin NZIS,https://data.mzd.gov.cz/data/číselníky/CIS001/66000014,66000014,14 let a méně,0.0,14.0
https://data.mzd.gov.cz/data/číselníky/CIS001,CIS001,Číselník věkových skupin NZIS,https://data.mzd.gov.cz/data/číselníky/CIS001/66000017,66000017,17 let a méně,0.0,17.0
https://data.mzd.gov.cz/data/číselníky/CIS001,CIS001,Číselník věkových skupin NZIS,https://data.mzd.gov.cz/data/číselníky/CIS001/66000018,66000018,18 let a méně,0.0,18.0
https://data.mzd.gov.cz/data/číselníky/CIS001,CIS001,Číselník věkových skupin NZIS,https://data.mzd.gov.cz/data/číselníky/CIS001/66000019,66000019,19 let a méně,0.0,19.0
https://data.mzd.gov.cz/data/číselníky/CIS001,CIS001,Číselník věkových skupin NZIS,https://data.mzd.gov.cz/data/číselníky/CIS001/66000024,66000024,24 let a méně,0.0,24.0
https://data.mzd.gov.cz/data/číselníky/CIS001,CIS001,Číselník věkových skupin NZIS,https://data.mzd.gov.cz/data/číselníky/CIS001/66000034,66000034,34 let a méně,0.0,34.0
https://data.mzd.gov.cz/data/číselníky/CIS001,CIS001,Číselník věkových skupin NZIS,https://data.mzd.gov.cz/data/číselníky/CIS001/66000999,66000999,bez omezení věku,0.0,999.0
https://data.mzd.gov.cz/data/číselníky/CIS001,CIS001,Číselník věkových skupin NZIS,https://data.mzd.gov.cz/data/číselníky/CIS001/66001001,66001001,1 rok,1.0,1.0
https://data.mzd.gov.cz/data/číselníky/CIS001,CIS001,Číselník věkových skupin NZIS,https://data.mzd.gov.cz/data/číselníky/CIS001/66001004,66001004,1–4 roky,1.0,4.0
https://data.mzd.gov.cz/data/číselníky/CIS001,CIS001,Číselník věkových skupin NZIS,https://data.mzd.gov.cz/data/číselníky/CIS001/66002002,66002002,2 roky,2.0,2.0
https://data.mzd.gov.cz/data/číselníky/CIS001,CIS001,Číselník věkových skupin NZIS,https://data.mzd.gov.cz/data/číselníky/CIS001/66003003,66003003,3 roky,3.0,3.0
https://data.mzd.gov.cz/data/číselníky/CIS001,CIS001,Číselník věkových skupin NZIS,https://data.mzd.gov.cz/data/číselníky/CIS001/66004004,66004004,4 roky,4.0,4.0
