rok,mesic,kraj_kod,kraj_nazev,diagnoza,diagnoza_nazev,vek_kod,vek_nazev,pohlavi,EWS,pocet_pripadu
2022,6,CZ071,Olomoucký kraj,A03,Shigelóza,66015019,15–19 let,M,0,1
2022,6,CZ071,Olomoucký kraj,A04,Jiné bakteriální střevní infekce,66000000,0 let,M,0,9
2022,6,CZ071,Olomoucký kraj,A04,Jiné bakteriální střevní infekce,66000000,0 let,Z,0,4
2022,6,CZ071,Olomoucký kraj,A04,Jiné bakteriální střevní infekce,66001004,1–4 roky,M,0,28
2022,6,CZ071,Olomoucký kraj,A04,Jiné bakteriální střevní infekce,66001004,1–4 roky,Z,0,18
2022,6,CZ071,Olomoucký kraj,A04,Jiné bakteriální střevní infekce,66005009,5–9 let,M,0,7
2022,6,CZ071,Olomoucký kraj,A04,Jiné bakteriální střevní infekce,66005009,5–9 let,Z,0,5
2022,6,CZ071,Olomoucký kraj,A04,Jiné bakteriální střevní infekce,66010014,10–14 let,M,0,12
2022,6,CZ071,Olomoucký kraj,A04,Jiné bakteriální střevní infekce,66010014,10–14 let,Z,0,7
2022,6,CZ071,Olomoucký kraj,A04,Jiné bakteriální střevní infekce,66015019,15–19 let,M,0,11
2022,6,CZ071,Olomoucký kraj,A04,Jiné bakteriální střevní infekce,66015019,15–19 let,Z,0,6
2022,6,CZ071,Olomoucký kraj,A04,Jiné bakteriální střevní infekce,66020024,20–24 let,M,0,5
2022,6,CZ071,Olomoucký kraj,A04,Jiné bakteriální střevní infekce,66020024,20–24 let,Z,0,2
2022,6,CZ071,Olomoucký kraj,A04,Jiné bakteriální střevní infekce,66025029,25–29 let,M,0,4
2022,6,CZ071,Olomoucký kraj,A04,Jiné bakteriální střevní infekce,66025029,25–29 let,Z,0,1
2022,6,CZ071,Olomoucký kraj,A04,Jiné bakteriální střevní infekce,66030034,30–34 let,M,0,1
2022,6,CZ071,Olomoucký kraj,A04,Jiné bakteriální střevní infekce,66030034,30–34 let,Z,0,3
2022,6,CZ071,Olomoucký kraj,A04,Jiné bakteriální střevní infekce,66035039,35–39 let,M,0,1
2022,6,CZ071,Olomoucký kraj,A04,Jiné bakteriální střevní infekce,66035039,35–39 let,Z,0,1
2022,6,CZ071,Olomoucký kraj,A04,Jiné bakteriální střevní infekce,66040044,40–44 let,M,0,5
2022,6,CZ071,Olomoucký kraj,A04,Jiné bakteriální střevní infekce,66040044,40–44 let,Z,0,3
2022,6,CZ071,Olomoucký kraj,A04,Jiné bakteriální střevní infekce,66045049,45–49 let,M,0,6
2022,6,CZ071,Olomoucký kraj,A04,Jiné bakteriální střevní infekce,66045049,45–49 let,Z,0,3
2022,6,CZ071,Olomoucký kraj,A04,Jiné bakteriální střevní infekce,66050054,50–54 let,M,0,2
2022,6,CZ071,Olomoucký kraj,A04,Jiné bakteriální střevní infekce,66050054,50–54 let,Z,0,4
2022,6,CZ071,Olomoucký kraj,A04,Jiné bakteriální střevní infekce,66055059,55–59 let,M,0,5
2022,6,CZ071,Olomoucký kraj,A04,Jiné bakteriální střevní infekce,66055059,55–59 let,Z,0,2
2022,6,CZ071,Olomoucký kraj,A04,Jiné bakteriální střevní infekce,66060064,60–64 let,M,0,1
2022,6,CZ071,Olomoucký kraj,A04,Jiné bakteriální střevní infekce,66060064,60–64 let,Z,0,1
2022,6,CZ071,Olomoucký kraj,A04,Jiné bakteriální střevní infekce,66065069,65–69 let,M,0,1
2022,6,CZ071,Olomoucký kraj,A04,Jiné bakteriální střevní infekce,66070074,70–74 let,M,0,2
2022,6,CZ071,Olomoucký kraj,A04,Jiné bakteriální střevní infekce,66070074,70–74 let,Z,0,3
2022,6,CZ071,Olomoucký kraj,A04,Jiné bakteriální střevní infekce,66075999,75+ let,M,0,5
2022,6,CZ071,Olomoucký kraj,A04,Jiné bakteriální střevní infekce,66075999,75+ let,Z,0,2
2022,6,CZ071,Olomoucký kraj,A08,Střevní infekce viry a jinými určenými mikroorganismy,66000000,0 let,M,0,9
2022,6,CZ071,Olomoucký kraj,A08,Střevní infekce viry a jinými určenými mikroorganismy,66000000,0 let,Z,0,6
2022,6,CZ071,Olomoucký kraj,A08,Střevní infekce viry a jinými určenými mikroorganismy,66001004,1–4 roky,M,0,24
2022,6,CZ071,Olomoucký kraj,A08,Střevní infekce viry a jinými určenými mikroorganismy,66001004,1–4 roky,Z,0,21
2022,6,CZ071,Olomoucký kraj,A08,Střevní infekce viry a jinými určenými mikroorganismy,66005009,5–9 let,M,0,5
2022,6,CZ071,Olomoucký kraj,A08,Střevní infekce viry a jinými určenými mikroorganismy,66005009,5–9 let,Z,0,11
2022,6,CZ071,Olomoucký kraj,A08,Střevní infekce viry a jinými určenými mikroorganismy,66010014,10–14 let,M,0,2
2022,6,CZ071,Olomoucký kraj,A08,Střevní infekce viry a jinými určenými mikroorganismy,66030034,30–34 let,M,0,3
2022,6,CZ071,Olomoucký kraj,A08,Střevní infekce viry a jinými určenými mikroorganismy,66030034,30–34 let,Z,0,1
2022,6,CZ071,Olomoucký kraj,A08,Střevní infekce viry a jinými určenými mikroorganismy,66040044,40–44 let,M,0,1
2022,6,CZ071,Olomoucký kraj,A08,Střevní infekce viry a jinými určenými mikroorganismy,66045049,45–49 let,M,0,2
2022,6,CZ071,Olomoucký kraj,A08,Střevní infekce viry a jinými určenými mikroorganismy,66075999,75+ let,Z,0,4
2022,6,CZ071,Olomoucký kraj,A28,Další bakteriální zoonózy nezařazené jinde,66010014,10–14 let,M,0,1
2022,6,CZ071,Olomoucký kraj,A32,Listerióza [listeriosis],66075999,75+ let,M,0,1
