ciselnik,ciselnik_kod,ciselnik_nazev,kod_IRI,kod,kod_tecka,nazev,kod_kapitola_rozsah,kod_kapitola_cislo,nazev_kapitola,platnost_od,platnost_do
https://mkn10.uzis.cz/prohlizec,CIS003,Číselník položek české verze 10. revize Mezinárodní klasifikace nemocí (MKN-10-CZ),https://mkn10.uzis.cz/prohlizec/A00,A00,A00,Cholera,A00-B99,I.,Některé infekční a parazitární nemoci,1994-01-01,
https://mkn10.uzis.cz/prohlizec,CIS003,Číselník položek české verze 10. revize Mezinárodní klasifikace nemocí (MKN-10-CZ),https://mkn10.uzis.cz/prohlizec/A00.0,A000,A00.0,Cholera‚ původce: Vibrio cholerae 01‚ biotyp cholerae,A00-B99,I.,Některé infekční a parazitární nemoci,1994-01-01,
https://mkn10.uzis.cz/prohlizec,CIS003,Číselník položek české verze 10. revize Mezinárodní klasifikace nemocí (MKN-10-CZ),https://mkn10.uzis.cz/prohlizec/A00.1,A001,A00.1,Cholera‚ původce: Vibrio cholerae 01‚ biotyp el Tor,A00-B99,I.,Některé infekční a parazitární nemoci,1994-01-01,
https://mkn10.uzis.cz/prohlizec,CIS003,Číselník položek české verze 10. revize Mezinárodní klasifikace nemocí (MKN-10-CZ),https://mkn10.uzis.cz/prohlizec/A00.9,A009,A00.9,Cholera NS,A00-B99,I.,Některé infekční a parazitární nemoci,1994-01-01,
https://mkn10.uzis.cz/prohlizec,CIS003,Číselník položek české verze 10. revize Mezinárodní klasifikace nemocí (MKN-10-CZ),https://mkn10.uzis.cz/prohlizec/A01,A01,A01,Břišní tyfus a paratyfus,A00-B99,I.,Některé infekční a parazitární nemoci,1994-01-01,
https://mkn10.uzis.cz/prohlizec,CIS003,Číselník položek české verze 10. revize Mezinárodní klasifikace nemocí (MKN-10-CZ),https://mkn10.uzis.cz/prohlizec/A01.0,A010,A01.0,Břišní tyfus,A00-B99,I.,Některé infekční a parazitární nemoci,1994-01-01,
https://mkn10.uzis.cz/prohlizec,CIS003,Číselník položek české verze 10. revize Mezinárodní klasifikace nemocí (MKN-10-CZ),https://mkn10.uzis.cz/prohlizec/A01.1,A011,A01.1,Paratyfus A,A00-B99,I.,Některé infekční a parazitární nemoci,1994-01-01,
https://mkn10.uzis.cz/prohlizec,CIS003,Číselník položek české verze 10. revize Mezinárodní klasifikace nemocí (MKN-10-CZ),https://mkn10.uzis.cz/prohlizec/A01.2,A012,A01.2,Paratyfus B,A00-B99,I.,Některé infekční a parazitární nemoci,1994-01-01,
https://mkn10.uzis.cz/prohlizec,CIS003,Číselník položek české verze 10. revize Mezinárodní klasifikace nemocí (MKN-10-CZ),https://mkn10.uzis.cz/prohlizec/A01.3,A013,A01.3,Paratyfus C,A00-B99,I.,Některé infekční a parazitární nemoci,1994-01-01,
https://mkn10.uzis.cz/prohlizec,CIS003,Číselník položek české verze 10. revize Mezinárodní klasifikace nemocí (MKN-10-CZ),https://mkn10.uzis.cz/prohlizec/A01.4,A014,A01.4,Paratyfus NS,A00-B99,I.,Některé infekční a parazitární nemoci,1994-01-01,
