id,method,question,expected_filters,predicted_filters,all_filters_correct,missing_columns,unexpected_columns,mismatched_columns
EQ-01,RAG,Porovnej střevní infekční nemoci v České republice podle diagnózy.,"{""diagnosis_code"": [""A01"", ""A02"", ""A03"", ""A04"", ""A05"", ""A06"", ""A07"", ""A08"", ""A09""]}","{""diagnosis_code"": [""A04"", ""A07"", ""A08"", ""A48"", ""B99""]}",0,,,"{""diagnosis_code"": {""missing"": [""A01"", ""A02"", ""A03"", ""A05"", ""A06"", ""A09""], ""unexpected"": [""A48"", ""B99""]}}"
EQ-01,KG-RAG,Porovnej střevní infekční nemoci v České republice podle diagnózy.,"{""diagnosis_code"": [""A01"", ""A02"", ""A03"", ""A04"", ""A05"", ""A06"", ""A07"", ""A08"", ""A09""]}","{""diagnosis_code"": [""A01"", ""A02"", ""A03"", ""A04"", ""A05"", ""A06"", ""A07"", ""A08"", ""A09""]}",1,,,{}
EQ-02,RAG,Porovnej střevní infekční nemoci v letech 2020 and 2023,"{""diagnosis_code"": [""A01"", ""A02"", ""A03"", ""A04"", ""A05"", ""A06"", ""A07"", ""A08"", ""A09""], ""report_year"": [2020, 2023]}","{""diagnosis_code"": [""A04"", ""A07"", ""A08"", ""A48"", ""B99""], ""report_year"": [2020, 2023]}",0,,,"{""diagnosis_code"": {""missing"": [""A01"", ""A02"", ""A03"", ""A05"", ""A06"", ""A09""], ""unexpected"": [""A48"", ""B99""]}}"
EQ-02,KG-RAG,Porovnej střevní infekční nemoci v letech 2020 and 2023,"{""diagnosis_code"": [""A01"", ""A02"", ""A03"", ""A04"", ""A05"", ""A06"", ""A07"", ""A08"", ""A09""], ""report_year"": [2020, 2023]}","{""diagnosis_code"": [""A01"", ""A02"", ""A03"", ""A04"", ""A05"", ""A06"", ""A07"", ""A08"", ""A09""], ""report_year"": [2020, 2023]}",1,,,{}
EQ-03,RAG,Porovnej střevní infekční nemoci u dětí podle věkové skupiny.,"{""age_group_name_cs"": [""0 let"", ""10–14 let"", ""1–4 roky"", ""5–9 let""], ""diagnosis_code"": [""A01"", ""A02"", ""A03"", ""A04"", ""A05"", ""A06"", ""A07"", ""A08"", ""A09""]}","{""age_group_name_cs"": [""1–4 roky""], ""diagnosis_code"": [""A04"", ""A07"", ""A08"", ""A48"", ""B99""]}",0,,,"{""age_group_name_cs"": {""missing"": [""0 let"", ""10–14 let"", ""5–9 let""], ""unexpected"": []}, ""diagnosis_code"": {""missing"": [""A01"", ""A02"", ""A03"", ""A05"", ""A06"", ""A09""], ""unexpected"": [""A48"", ""B99""]}}"
EQ-03,KG-RAG,Porovnej střevní infekční nemoci u dětí podle věkové skupiny.,"{""age_group_name_cs"": [""0 let"", ""10–14 let"", ""1–4 roky"", ""5–9 let""], ""diagnosis_code"": [""A01"", ""A02"", ""A03"", ""A04"", ""A05"", ""A06"", ""A07"", ""A08"", ""A09""]}","{""age_group_name_cs"": [""0 let"", ""10–14 let"", ""15–19 let"", ""1–4 roky"", ""20–24 let"", ""25–29 let"", ""30–34 let"", ""35–39 let"", ""40–44 let"", ""45–49 let"", ""50–54 let"", ""55–59 let"", ""5–9 let"", ""60–64 let"", ""65–69 let"", ""70–74 let"", ""75+ let""], ""diagnosis_code"": [""A01"", ""A02"", ""A03"", ""A04"", ""A05"", ""A06"", ""A07"", ""A08"", ""A09""]}",0,,,"{""age_group_name_cs"": {""missing"": [], ""unexpected"": [""15–19 let"", ""20–24 let"", ""25–29 let"", ""30–34 let"", ""35–39 let"", ""40–44 let"", ""45–49 let"", ""50–54 let"", ""55–59 let"", ""60–64 let"", ""65–69 let"", ""70–74 let"", ""75+ let""]}}"
EQ-04,RAG,Porovnej střevní infekční nemoci u seniorů 65+ podle věkové skupiny.,"{""age_group_name_cs"": [""65–69 let"", ""70–74 let"", ""75+ let""], ""diagnosis_code"": [""A01"", ""A02"", ""A03"", ""A04"", ""A05"", ""A06"", ""A07"", ""A08"", ""A09""]}","{""age_group_name_cs"": [""65–69 let"", ""70–74 let"", ""75+ let""], ""diagnosis_code"": [""A04"", ""A07"", ""A08"", ""A48"", ""B99""]}",0,,,"{""diagnosis_code"": {""missing"": [""A01"", ""A02"", ""A03"", ""A05"", ""A06"", ""A09""], ""unexpected"": [""A48"", ""B99""]}}"
EQ-04,KG-RAG,Porovnej střevní infekční nemoci u seniorů 65+ podle věkové skupiny.,"{""age_group_name_cs"": [""65–69 let"", ""70–74 let"", ""75+ let""], ""diagnosis_code"": [""A01"", ""A02"", ""A03"", ""A04"", ""A05"", ""A06"", ""A07"", ""A08"", ""A09""]}","{""age_group_name_cs"": [""65–69 let"", ""70–74 let"", ""75+ let""], ""diagnosis_code"": [""A01"", ""A02"", ""A03"", ""A04"", ""A05"", ""A06"", ""A07"", ""A08"", ""A09""]}",1,,,{}
EQ-05,RAG,Porovnej střevní infekční nemoci na Moravě podle kraje.,"{""diagnosis_code"": [""A01"", ""A02"", ""A03"", ""A04"", ""A05"", ""A06"", ""A07"", ""A08"", ""A09""], ""region_name_cs"": [""Jihomoravský kraj"", ""Moravskoslezský kraj"", ""Olomoucký kraj"", ""Zlínský kraj""]}","{""diagnosis_code"": [""A04"", ""A07"", ""A08"", ""A48"", ""B99""], ""region_name_cs"": [""Moravskoslezský kraj""]}",0,,,"{""diagnosis_code"": {""missing"": [""A01"", ""A02"", ""A03"", ""A05"", ""A06"", ""A09""], ""unexpected"": [""A48"", ""B99""]}, ""region_name_cs"": {""missing"": [""Jihomoravský kraj"", ""Olomoucký kraj"", ""Zlínský kraj""], ""unexpected"": []}}"
EQ-05,KG-RAG,Porovnej střevní infekční nemoci na Moravě podle kraje.,"{""diagnosis_code"": [""A01"", ""A02"", ""A03"", ""A04"", ""A05"", ""A06"", ""A07"", ""A08"", ""A09""], ""region_name_cs"": [""Jihomoravský kraj"", ""Moravskoslezský kraj"", ""Olomoucký kraj"", ""Zlínský kraj""]}","{""diagnosis_code"": [""A01"", ""A02"", ""A03"", ""A04"", ""A05"", ""A06"", ""A07"", ""A08"", ""A09""], ""region_name_cs"": [""Hl. m. Praha"", ""Jihomoravský kraj"", ""Jihočeský kraj"", ""Karlovarský kraj"", ""Kraj Vysočina"", ""Královéhradecký kraj"", ""Liberecký kraj"", ""Moravskoslezský kraj"", ""Olomoucký kraj"", ""Pardubický kraj"", ""Plzeňský kraj"", ""Středočeský kraj"", ""Zlínský kraj"", ""neuvedeno"", ""Ústecký kraj""]}",0,,,"{""region_name_cs"": {""missing"": [], ""unexpected"": [""Hl. m. Praha"", ""Jihočeský kraj"", ""Karlovarský kraj"", ""Kraj Vysočina"", ""Královéhradecký kraj"", ""Liberecký kraj"", ""Pardubický kraj"", ""Plzeňský kraj"", ""Středočeský kraj"", ""neuvedeno"", ""Ústecký kraj""]}}"
