diagnoza,diagnoza_nazev_v_tabulce,pocet_pripadu_total,pocet_radku,mkn_kod,mkn_kod_tecka,mkn_nazev,mkn_kod_iri,blok_kod,blok_nazev,blok_source,kapitola_kod_rozsah,kapitola_kod,kapitola_nazev,hierarchie_cz,platnost_od,platnost_do
A01,Břišní tyfus a paratyfus,27,27,A01,A01,Břišní tyfus a paratyfus,https://mkn10.uzis.cz/prohlizec/A01,A00-A09,Střevní infekční nemoci,derived_from_MKN10_block_ranges; open_UZIS_CSV_has_no_explicit_block_columns,A00-B99,I.,Některé infekční a parazitární nemoci,I. Některé infekční a parazitární nemoci > A00-A09 Střevní infekční nemoci > A01 Břišní tyfus a paratyfus,1994-01-01,
A02,Jiné infekce způsobené salmonelami,73222,26812,A02,A02,Jiné infekce způsobené salmonelami,https://mkn10.uzis.cz/prohlizec/A02,A00-A09,Střevní infekční nemoci,derived_from_MKN10_block_ranges; open_UZIS_CSV_has_no_explicit_block_columns,A00-B99,I.,Některé infekční a parazitární nemoci,I. Některé infekční a parazitární nemoci > A00-A09 Střevní infekční nemoci > A02 Jiné infekce způsobené salmonelami,1994-01-01,
A03,Shigelóza,867,794,A03,A03,Shigelóza,https://mkn10.uzis.cz/prohlizec/A03,A00-A09,Střevní infekční nemoci,derived_from_MKN10_block_ranges; open_UZIS_CSV_has_no_explicit_block_columns,A00-B99,I.,Některé infekční a parazitární nemoci,I. Některé infekční a parazitární nemoci > A00-A09 Střevní infekční nemoci > A03 Shigelóza,1994-01-01,
A04,Jiné bakteriální střevní infekce,196550,39806,A04,A04,Jiné bakteriální střevní infekce,https://mkn10.uzis.cz/prohlizec/A04,A00-A09,Střevní infekční nemoci,derived_from_MKN10_block_ranges; open_UZIS_CSV_has_no_explicit_block_columns,A00-B99,I.,Některé infekční a parazitární nemoci,I. Některé infekční a parazitární nemoci > A00-A09 Střevní infekční nemoci > A04 Jiné bakteriální střevní infekce,1994-01-01,
A05,"Jiné bakteriální intoxikace – otravy, přenesené potravou",789,231,A05,A05,"Jiné bakteriální intoxikace – otravy, přenesené potravou",https://mkn10.uzis.cz/prohlizec/A05,A00-A09,Střevní infekční nemoci,derived_from_MKN10_block_ranges; open_UZIS_CSV_has_no_explicit_block_columns,A00-B99,I.,Některé infekční a parazitární nemoci,"I. Některé infekční a parazitární nemoci > A00-A09 Střevní infekční nemoci > A05 Jiné bakteriální intoxikace – otravy, přenesené potravou",1994-01-01,
A06,Amébóza,69,67,A06,A06,Amébóza,https://mkn10.uzis.cz/prohlizec/A06,A00-A09,Střevní infekční nemoci,derived_from_MKN10_block_ranges; open_UZIS_CSV_has_no_explicit_block_columns,A00-B99,I.,Některé infekční a parazitární nemoci,I. Některé infekční a parazitární nemoci > A00-A09 Střevní infekční nemoci > A06 Amébóza,1994-01-01,
A07,Jiné protozoární střevní nemoci,704,627,A07,A07,Jiné protozoární střevní nemoci,https://mkn10.uzis.cz/prohlizec/A07,A00-A09,Střevní infekční nemoci,derived_from_MKN10_block_ranges; open_UZIS_CSV_has_no_explicit_block_columns,A00-B99,I.,Některé infekční a parazitární nemoci,I. Některé infekční a parazitární nemoci > A00-A09 Střevní infekční nemoci > A07 Jiné protozoární střevní nemoci,1994-01-01,
A08,Střevní infekce viry a jinými určenými mikroorganismy,69601,17910,A08,A08,Střevní infekce viry a jinými určenými mikroorganismy,https://mkn10.uzis.cz/prohlizec/A08,A00-A09,Střevní infekční nemoci,derived_from_MKN10_block_ranges; open_UZIS_CSV_has_no_explicit_block_columns,A00-B99,I.,Některé infekční a parazitární nemoci,I. Některé infekční a parazitární nemoci > A00-A09 Střevní infekční nemoci > A08 Střevní infekce viry a jinými určenými mikroorganismy,1994-01-01,
A09,Jiná gastroenteritida a kolitida infekčního a NS původu,21048,3787,A09,A09,Jiná gastroenteritida a kolitida infekčního a NS původu,https://mkn10.uzis.cz/prohlizec/A09,A00-A09,Střevní infekční nemoci,derived_from_MKN10_block_ranges; open_UZIS_CSV_has_no_explicit_block_columns,A00-B99,I.,Některé infekční a parazitární nemoci,I. Některé infekční a parazitární nemoci > A00-A09 Střevní infekční nemoci > A09 Jiná gastroenteritida a kolitida infekčního a NS původu,2009-01-01,
A21,Tularemie,483,468,A21,A21,Tularemie,https://mkn10.uzis.cz/prohlizec/A21,A20-A28,Některé bakteriální zoonózy,derived_from_MKN10_block_ranges; open_UZIS_CSV_has_no_explicit_block_columns,A00-B99,I.,Některé infekční a parazitární nemoci,I. Některé infekční a parazitární nemoci > A20-A28 Některé bakteriální zoonózy > A21 Tularemie,1994-01-01,
A23,Brucelóza – vlnivá horečka,12,12,A23,A23,Brucelóza – vlnivá horečka,https://mkn10.uzis.cz/prohlizec/A23,A20-A28,Některé bakteriální zoonózy,derived_from_MKN10_block_ranges; open_UZIS_CSV_has_no_explicit_block_columns,A00-B99,I.,Některé infekční a parazitární nemoci,I. Některé infekční a parazitární nemoci > A20-A28 Některé bakteriální zoonózy > A23 Brucelóza – vlnivá horečka,1994-01-01,
A26,Červenka – erysipeloid,13,13,A26,A26,Červenka – erysipeloid,https://mkn10.uzis.cz/prohlizec/A26,A20-A28,Některé bakteriální zoonózy,derived_from_MKN10_block_ranges; open_UZIS_CSV_has_no_explicit_block_columns,A00-B99,I.,Některé infekční a parazitární nemoci,I. Některé infekční a parazitární nemoci > A20-A28 Některé bakteriální zoonózy > A26 Červenka – erysipeloid,1994-01-01,
